Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Bike Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971863,-93.2433118
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971863,-93.2433118
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971863,-93.2433118
Theft,269 19th Ave S,Minneapolis,Minnesota,United States of America,44.971863,-93.2433118
Bike Theft,27 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9779021,-93.2353227
Theft,271 19th Ave S,Minneapolis,Minnesota,United States of America,44.9716633,-93.2437341
Overdose,275 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.9714147,-93.246372
Assault,275 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.9714147,-93.246372
Hit and Run with Injury,27th Ave SE & University Ave SE,Minneapolis,Minnesota,United States of America,44.9722984,-93.218632
Theft,2829 University Ave SE,Minneapolis,Minnesota,United States of America,44.9717239,-93.215684
Bike Theft,2901 Talmage Ave SE,Minneapolis,Minnesota,United States of America,44.9903183,-93.21165880000001
Theft,2904 Fairmount St SE,Minneapolis,Minnesota,United States of America,44.9856449,-93.21207989999999
Possession of Firearm / Narcotics Violation /,2nd St SE / 8th Ave SE,Minneapolis,Minnesota,United States of America,44.9818592,-93.24563309999999
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709416,-93.2459544
Theft,300 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709416,-93.2459544
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Theft,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Assault,300 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9729099,-93.23514259999999
Bike Theft,301 19th Ave S,Minneapolis,Minnesota,United States of America,44.9713188,-93.244621
Theft,308 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9731878,-93.2323562
Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709391,-93.24357309999999
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709391,-93.24357309999999
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709391,-93.24357309999999
Bike Theft,309 19th Ave S,Minneapolis,Minnesota,United States of America,44.9709391,-93.24357309999999
Assault,309 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.9706605,-93.2469716
Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9728439,-93.2342094
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9728439,-93.2342094
Bike Theft,312 Church St SE,Minneapolis,Minnesota,United States of America,44.9728439,-93.2342094
Bike Theft,315 19th Ave SE,Minneapolis,Minnesota,United States of America,44.9773321,-93.2294932
Criminal Sexual Conduct - Rape,315 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.9772223,-93.233627
Theft,317 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9783224,-93.23225819999999
Stalking,317 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9783224,-93.23225819999999
Bike Theft,319 15th Ave SE,Minneapolis,Minnesota,United States of America,44.9794095,-93.2350247
Assault,320 Cedar Ave S,Minneapolis,Minnesota,United States of America,44.970807,-93.2475296
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Theft from Person,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Bike Theft,321 19th Ave S,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Bike Theft,321 Church St SE,Minneapolis,Minnesota,United States of America,44.97318,-93.23351199999999
Bike Theft,321 S 19th Ave,Minneapolis,Minnesota,United States of America,44.97039909999999,-93.24472809999999
Bike Theft,324 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9728359,-93.23062159999999
Theft,326 16th Ave SE,Minneapolis,Minnesota,United States of America,44.9790093,-93.23269839999999
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Assault,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Bike Theft,326 17th Ave SE,Minneapolis,Minnesota,United States of America,44.9784502,-93.23137439999999
Bike Theft,326 27th Ave SE,Minneapolis,Minnesota,United States of America,44.9723802,-93.2182802
Assault,400 21st Ave S,Minneapolis,Minnesota,United States of America,44.969677,-93.24332799999999
Bike Theft,400 21st Ave S,Minneapolis,Minnesota,United States of America,44.969677,-93.24332799999999
Theft,401 Oak St SE,Minneapolis,Minnesota,United States of America,44.9724815,-93.2267565
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Stalking x2,412 22nd Ave S,Minneapolis,Minnesota,United States of America,44.9696389,-93.24058749999999
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.9720156,-93.2283089
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.9720156,-93.2283089
Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.9720156,-93.2283089
Bike Theft,417 Walnut St SE,Minneapolis,Minnesota,United States of America,44.9720156,-93.2283089
Bike Theft,418 21th Ave S,Minneapolis,Minnesota,United States of America,44.9691871,-93.2430614
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9725684,-93.2336608
Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9725684,-93.2336608
Bike Theft,420 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9725684,-93.2336608
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9731495,-93.23233789999999
Assault w/dangerous weapon,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9731495,-93.23233789999999
Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9731495,-93.23233789999999
Bike Theft,420 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9731495,-93.23233789999999
Bike Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9739196,-93.2333412
Theft,421 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.9739196,-93.2333412
Hit and Run with Injury,4th St SE / 17th Ave SE,Minneapolis,Minnesota,United States of America,44.979128,-93.232254
Weapons Law Violation,500 Block of Washington Ave SE,Minneapolis,Minnesota,United States of America,44.97358800000001,-93.23191659999999
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.9710574,-93.2310298
